URL,Fichier,Section,Siman,Niveau,Langue,Controles_faits,Revue_semantique,Raison
https://daattorah.com/blog/allumer-feu-avant-shabbat-en.html,blog/allumer-feu-avant-shabbat-en.html,blog,,,en,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/allumer-feu-avant-shabbat-he.html,blog/allumer-feu-avant-shabbat-he.html,blog,,,he,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/allumer-feu-avant-shabbat.html,blog/allumer-feu-avant-shabbat.html,blog,,,fr,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/association-juif-non-juif-shabbat-en.html,blog/association-juif-non-juif-shabbat-en.html,blog,,,en,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/association-juif-non-juif-shabbat-he.html,blog/association-juif-non-juif-shabbat-he.html,blog,,,he,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/association-juif-non-juif-shabbat.html,blog/association-juif-non-juif-shabbat.html,blog,,,fr,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/bougies-shabbat-horaire-allumage-en.html,blog/bougies-shabbat-horaire-allumage-en.html,blog,,,en,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/bougies-shabbat-horaire-allumage-he.html,blog/bougies-shabbat-horaire-allumage-he.html,blog,,,he,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/bougies-shabbat-horaire-allumage.html,blog/bougies-shabbat-horaire-allumage.html,blog,,,fr,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
https://daattorah.com/blog/cremes-cosmetiques-shabbat-en.html,blog/cremes-cosmetiques-shabbat-en.html,blog,,,en,"automatiques (inventaire, SEO, liens, hreflang, numerotation, chronologie, meta-gershayim, artefacts)",NON — halakha/citations/traduction/niveaux non revus en profondeur,Volume : revue rabbinique/manuelle requise
